/,,,,,개발자 전달용 피그마 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2104-23870&t=MlhrLKl52ZbixSEe-1,반영 확인용 링크: https://picklab-fe.vercel.app/ ,,,
프로젝트 명,픽랩,,,,,,,,
작성자,이다은,,,,,,,,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"- 활동명 텍스트 한단계 더 볼드로 수정하여 노출
- 주최기관 텍스트 컬러는 활동명과 동일하게 노출

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1223-17347&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"- 텍스트 14px로 수정하여 노출 (직무 배지 제외)
- 모집기간의 표기를 아래 링크와 동일하게 수정하여 노출
  -> https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1223-17370&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,플로팅 버튼으로 디스플레이 하단에 고정,100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"직무 연관성', '활동 만족도평가' 텍스트 크기 20px로 수정하여 노출",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"- 디자인이 조금 수정되어 있습니다. 아래 링크를 참고해주세요
- 버튼 크기 base 로 수정하여 노출
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2409-27883&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"- 리뷰 0 -> 텍스트 크기 18px로 수정하여 노출
- 필터 드롭다운 좌측에 초기화 아이콘 버튼 추가
- 드롭다운 너비값 128px 로 수정하여 노출

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2408-26119&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,비로그인,MOBILE,메인화면 > 로그인,,"회원가입 링크버튼 클릭 시 아래의 링크 화면으로 이동합니다.

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-73065&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"관심직무의 데이터가 추가하여 노출

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-75719&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"해당 부분 클릭 시 아래 링크의 화면으로 이동되게 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-78484&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"클릭 시 아래의 링크 화면 노출

화면 링크 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-76050&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"계정' 클릭 시 아래 링크의 화면 노출

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-73577&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"알림 버튼 클릭 시 아래 링크의 화면으로 이동

링크 화면: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-74433&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"연필 아이콘 클릭 시, 아래 링크의 화면으로 이동

링크 화면: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-82537&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,로그인,MOBILE,메인화면 > 프로필,,"캘린더 아이콘 클릭 시, 아래 링크의 화면으로 이동

링크 화면: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-76568&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
